fdc_id,description,Retinol (UG),Lycopene (UG),cis_Lycopene (UG),trans_Lycopene (UG),Carotene_beta (UG),cis_beta_Carotene (UG),trans_beta_Carotene (UG),Vitamin_E_alpha_tocopherol (MG),Tocopherols_and_tocotrienols (MG),Cryptoxanthin_beta (UG),Choline_total (MG),Carotene_alpha (UG),Vitamin_K_phylloquinone (UG),Zeaxanthin (UG),Lutein (UG),Lutein_plus_zeaxanthin (UG),cis_Lutein/Zeaxanthin (UG),Vitamin_D_D2_plus_D3 (UG),Vitamin_A_RAE (UG)
2706814,"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",34.0,169.0,169.0,169.0,1841.0,1841.0,1841.0,0.46,0.46,1.0,23.5,160.0,66.2,1001.0,1001.0,1001.0,1001.0,0.1,194.0
2706815,"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",34.0,437.0,437.0,437.0,2435.0,2435.0,2435.0,0.7,0.7,0.0,17.2,385.0,69.0,1050.0,1050.0,1050.0,1050.0,0.1,253.0
2706816,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",2.0,0.0,0.0,0.0,1217.0,1217.0,1217.0,1.78,1.78,94.0,28.9,24.0,51.8,830.0,830.0,830.0,830.0,0.0,108.0
2706817,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",1.0,0.0,0.0,0.0,1456.0,1456.0,1456.0,1.81,1.81,90.0,27.3,23.0,62.4,991.0,991.0,991.0,991.0,0.0,127.0
2706818,"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",9.0,435.0,435.0,435.0,2069.0,2069.0,2069.0,0.49,0.49,0.0,22.6,18.0,88.2,1366.0,1366.0,1366.0,1366.0,0.0,182.0
2706819,"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing",9.0,408.0,408.0,408.0,1943.0,1943.0,1943.0,0.71,0.71,0.0,19.6,16.0,84.9,1284.0,1284.0,1284.0,1284.0,0.1,171.0
2706820,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce",33.0,0.0,0.0,0.0,1165.0,1165.0,1165.0,0.42,0.42,0.0,18.3,490.0,13.7,233.0,233.0,233.0,233.0,0.4,152.0
2706821,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce",33.0,0.0,0.0,0.0,46.0,46.0,46.0,0.13,0.13,16.0,19.7,9.0,5.4,156.0,156.0,156.0,156.0,0.4,38.0
2706822,"Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style",4.0,1440.0,1440.0,1440.0,91.0,91.0,91.0,2.53,2.53,3.0,40.6,3.0,6.2,87.0,87.0,87.0,87.0,0.1,11.0
2706823,"Chicken or turkey fricassee, no sauce, no potatoes, Puerto Rican style",8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,1.44,0.0,62.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,8.0
2706824,Crab salad,4.0,0.0,0.0,0.0,62.0,62.0,62.0,1.68,1.68,1.0,49.8,0.0,40.4,67.0,67.0,67.0,67.0,0.0,9.0
2706825,Lobster salad,4.0,0.0,0.0,0.0,60.0,60.0,60.0,1.25,1.25,1.0,50.9,0.0,38.8,65.0,65.0,65.0,65.0,0.0,8.0
2706826,Salmon salad,12.0,0.0,0.0,0.0,87.0,87.0,87.0,1.07,1.07,17.0,55.1,7.0,43.0,78.0,78.0,78.0,78.0,7.4,20.0
2706827,"Shrimp chow mein or chop suey, no noodles",31.0,0.0,0.0,0.0,97.0,97.0,97.0,1.09,1.09,0.0,57.4,18.0,12.5,116.0,116.0,116.0,116.0,0.0,40.0
2706828,"Tuna salad, made with mayonnaise",12.0,0.0,0.0,0.0,91.0,91.0,91.0,0.93,0.93,18.0,23.7,7.0,44.7,81.0,81.0,81.0,81.0,0.7,20.0
2706829,"Tuna salad, made with light mayonnaise",10.0,0.0,0.0,0.0,95.0,95.0,95.0,0.74,0.74,17.0,18.3,7.0,23.0,83.0,83.0,83.0,83.0,0.6,19.0
2706830,"Tuna salad, made with mayonnaise-type salad dressing",10.0,0.0,0.0,0.0,90.0,90.0,90.0,0.59,0.59,17.0,19.6,7.0,20.3,83.0,83.0,83.0,83.0,0.6,18.0
2706831,"Tuna salad, made with light mayonnaise-type salad dressing",10.0,0.0,0.0,0.0,95.0,95.0,95.0,0.74,0.74,17.0,18.3,7.0,23.0,83.0,83.0,83.0,83.0,0.6,19.0
2706832,"Tuna salad, made with creamy dressing",11.0,0.0,0.0,0.0,91.0,91.0,91.0,0.74,0.74,17.0,23.5,7.0,40.6,82.0,82.0,82.0,82.0,0.6,20.0
2706833,"Tuna salad, made with light creamy dressing",9.0,0.0,0.0,0.0,86.0,86.0,86.0,0.41,0.41,16.0,19.8,7.0,11.5,76.0,76.0,76.0,76.0,0.6,17.0
2706834,"Tuna salad, made with Italian dressing",9.0,3.0,3.0,3.0,93.0,93.0,93.0,0.73,0.73,17.0,17.0,7.0,23.3,77.0,77.0,77.0,77.0,0.6,17.0
2706835,"Tuna salad, made with light Italian dressing",9.0,0.0,0.0,0.0,90.0,90.0,90.0,1.2,1.2,17.0,17.1,7.0,13.9,77.0,77.0,77.0,77.0,0.6,17.0
2706836,"Tuna salad, made with any type of fat free dressing",8.0,0.0,0.0,0.0,87.0,87.0,87.0,0.26,0.26,16.0,16.3,7.0,16.7,76.0,76.0,76.0,76.0,0.6,17.0
2706837,Shrimp salad,3.0,0.0,0.0,0.0,62.0,62.0,62.0,1.3,1.3,1.0,49.8,0.0,40.3,67.0,67.0,67.0,67.0,0.0,8.0
2706838,Seafood salad,3.0,0.0,0.0,0.0,61.0,61.0,61.0,1.41,1.41,1.0,50.1,0.0,39.8,66.0,66.0,66.0,66.0,0.0,9.0
2706839,Tuna salad with cheese,41.0,0.0,0.0,0.0,82.0,82.0,82.0,0.92,0.92,16.0,23.0,7.0,40.7,73.0,73.0,73.0,73.0,0.7,49.0
2706840,Tuna salad with egg,23.0,0.0,0.0,0.0,84.0,84.0,84.0,0.94,0.94,17.0,46.6,7.0,40.9,104.0,104.0,104.0,104.0,0.8,31.0
2706841,"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",21.0,197.0,197.0,197.0,1542.0,1542.0,1542.0,0.72,0.72,3.0,71.1,188.0,50.2,806.0,806.0,806.0,806.0,0.3,158.0
2706842,"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",23.0,0.0,0.0,0.0,1156.0,1156.0,1156.0,0.7,0.7,3.0,75.3,2.0,52.3,847.0,847.0,847.0,847.0,0.3,119.0
2706843,Crab salad made with imitation crab,3.0,0.0,0.0,0.0,64.0,64.0,64.0,0.86,0.86,1.0,15.4,0.0,41.9,69.0,69.0,69.0,69.0,0.0,9.0
